date,EP_Q1,EP_Q2,EP_Q3,EP_Q4,EP_Q5,BP_Q1,BP_Q2,BP_Q3,BP_Q4,BP_Q5,dividend_yield_Q1,dividend_yield_Q2,dividend_yield_Q3,dividend_yield_Q4,dividend_yield_Q5,ROE_Q1,ROE_Q2,ROE_Q3,ROE_Q4,ROE_Q5,grossprofit_margin_Q1,grossprofit_margin_Q2,grossprofit_margin_Q3,grossprofit_margin_Q4,grossprofit_margin_Q5,momentum_1m_Q1,momentum_1m_Q2,momentum_1m_Q3,momentum_1m_Q4,momentum_1m_Q5,liquidity_avg_Q1,liquidity_avg_Q2,liquidity_avg_Q3,liquidity_avg_Q4,liquidity_avg_Q5,momentum_3m_Q1,momentum_3m_Q2,momentum_3m_Q3,momentum_3m_Q4,momentum_3m_Q5,turnover_change_Q1,turnover_change_Q2,turnover_change_Q3,turnover_change_Q4,turnover_change_Q5,volatility_60d_Q1,volatility_60d_Q2,volatility_60d_Q3,volatility_60d_Q4,volatility_60d_Q5,momentum_6m_Q1,momentum_6m_Q2,momentum_6m_Q3,momentum_6m_Q4,momentum_6m_Q5
2020-03-31,-0.018560856545433012,0.007947590419530958,0.015614646582508418,0.021334199771835927,0.00530537691483393,0.016113215262252956,0.013389524398045268,-0.006225874504035385,0.00043897628195110764,-0.013868882318349467,,,,,,-0.049579963633926784,-0.030226546863163336,0.008618848715893265,0.024572623766136482,0.05674168267745865,-0.02358951411693342,-0.008885570783815673,0.009420043675195092,0.013375441063179996,0.02097482295469996,0.01717564411803015,0.0075671123212241,0.004621490946283575,0.0006950526481865342,-0.01881669238224598,-0.014983073805920556,-0.017257098568760253,0.0145587356829685,0.004889208602900049,0.022639187208676744,-0.012606000779202103,-0.0017661415089737082,0.00388270708282118,0.0014779205346690323,0.02024345858018332,-0.005677342647116169,0.008654460554740678,0.014678495558373462,0.006905044189422976,-0.014713698535556471,0.001483107009707869,0.008982019366352723,-2.4488440608239723e-05,0.003333319182500927,-0.003926997998088797,-0.018819770567490467,-0.010610018698835084,-0.007837593762229993,0.017899072289558747,0.029890017861456574
2020-04-30,0.04928745271877933,0.03965150143921614,0.05228610038393988,0.059833067052817816,0.02182969723577856,0.05390190237237575,0.0627685851432467,0.03522486028553136,0.04199810310450521,0.033017064993800645,,,,,,0.056088137422345495,0.03878683270925301,0.0397556084272831,0.03744839246732178,0.05484938246436553,0.03392195651974483,0.05327573006626614,0.04593670533903054,0.04781661881366651,0.04855416322614413,0.05416577521149434,0.04955356504813091,0.034813032889997056,0.03187045553949044,0.03929948022640416,0.07016471142232254,0.03508859452344278,0.0562329600407087,0.03125191567434518,0.03425504329279469,0.04896407023489413,0.044648231105334175,0.05386930344202732,0.02597830944837678,0.03473153790107703,0.04441567652034263,0.043872224240239545,0.03184447716631376,0.06776968996135073,0.03899513941625546,0.04301833908408531,0.06032234266765401,0.041201865982417575,0.038571260214060814,0.03686299497498669,0.054082429752181596,0.04124886653924786,0.0383137854440164,0.03547140470419548,0.04134356384074097
2020-05-29,0.05952434400329399,0.05982674488107421,0.07925872453636762,0.06521899670557228,0.04873768577654643,0.08313933861342107,0.0813314507125362,0.0468767087898479,0.042171956487778495,0.04250780823153072,,,,,,0.03128711188665143,0.037369599265434254,0.061253307681616215,0.07593295423835945,0.0902408905460915,0.03469413224716806,0.03383467737722865,0.06489841835846105,0.05350300677164478,0.11118189744454378,0.0688337190063518,0.05718341896397248,0.05616449788596974,0.05906275088612183,0.05467978486873218,0.027658715299624024,0.040319816656591165,0.056108228284792346,0.08269021085579906,0.08928663630324851,0.0715247820520011,0.05671794288461105,0.04048270106079995,0.059588167441917576,0.06648818699554536,0.039835718630986214,0.04701987159420503,0.06830081889465713,0.07207536258198988,0.06887983802345252,0.03315757986337285,0.051257067009897975,0.07347171974301754,0.06373518920939757,0.07451041177696059,0.051468872775752295,0.03784627970201146,0.045781359582825774,0.06857889379861717,0.09013562961643276
2020-06-30,0.07704485724509785,0.09492013095985473,0.08009710330666528,0.09535227461994798,0.1161726785735371,0.0691570048039879,0.07566023104908676,0.10470986598103446,0.10366241117253702,0.12348300845014647,,,,,,0.08589473066218352,0.08302530257496049,0.09608730847045423,0.08888314841899782,0.12278203133019655,0.09061870202278438,0.09393582858889453,0.09749930845656588,0.10181694498110128,0.08790363968221647,0.11299336127530135,0.11763418530261148,0.10697375496435362,0.08127417817562799,0.059442773614515734,0.10548520856737818,0.10080208117602289,0.10429934789961513,0.09394998693889141,0.07213589687488502,0.09430498597448488,0.10317961720282144,0.11492907366500701,0.09563529750304217,0.07140113278533497,0.10643938403189304,0.11400097555683408,0.09039266041051998,0.08149169847372761,0.0843478029838179,0.12296733689487419,0.10934137948312951,0.09439941406690094,0.06372783416224678,0.08623655684964118,0.1044779218889436,0.09079818075016988,0.11343660041082995,0.08609796271035312,0.08524934700640782
2020-07-31,0.01982488129632352,0.025784986330488428,0.01978568134807711,0.036817069004188956,0.04511886770512585,0.012419186096770946,0.025005642794752578,0.0318251512068322,0.055700559516278045,0.04980839452937688,,,,,,0.04619052387939637,0.03402933376704057,0.04321063407614944,0.02496888054131407,0.02631908146782252,0.03032766390188704,0.04081124881323819,0.04558545252515238,0.05311027270946776,0.007738306927854699,0.022214276639751947,0.050583049825411855,0.05729554734391094,0.040424777562896835,0.004637179754055791,0.07297508124078445,0.05496019559179117,0.03346065311158326,0.020770375697553578,-0.0074204700432583945,0.03483605636155327,0.05278085528399153,0.05392766373976173,0.028326564860207355,0.0025024449292223045,0.03436721482962212,0.028135104110386246,0.04398527909624974,0.048411280161418456,0.019891429710452477,0.06113911503402074,0.04784577678887779,0.045018778118623086,0.032791965369354324,-0.011985229924673161,0.02993504752134041,0.04896880949466817,0.047258323107530954,0.04439859508293486,0.004250009663009661
2020-08-31,-0.08631885549924415,-0.08096718876116307,-0.08528555932086997,-0.08531170249681018,-0.08276955981574562,-0.09594834290162965,-0.08555462991149496,-0.08784847130223387,-0.07204955914848986,-0.059422524422552775,,,,,,-0.07048476230285615,-0.07051989553783812,-0.08054795933932198,-0.08465235886777998,-0.09480350182103892,-0.08413632302827223,-0.06641055836209524,-0.07750897614854357,-0.07874580395970181,-0.09850462882684395,-0.08617889535161902,-0.08090790533966999,-0.0780237515911832,-0.07147915609362337,-0.08394361836422679,-0.06478067484942909,-0.07739139517004844,-0.0795346201176883,-0.0859429216312635,-0.0933812350708114,-0.08705677644290587,-0.07544250009478068,-0.07527649787699678,-0.0740295997498693,-0.08890151460003039,-0.09767180791004,-0.07981037359017279,-0.08296553435408952,-0.07403115842597144,-0.06642298772343516,-0.06166384500973933,-0.08371043057963783,-0.0886417795335681,-0.07817913662521421,-0.08888360851185334,-0.0801837153159857,-0.06095462996298399,-0.07682685087431497,-0.08165088110406668,-0.09850572924801514
2020-09-30,0.0449360391288701,0.03356082144146347,0.043262655287426725,0.03568229760829399,0.03636837943773617,0.0384202714586455,0.05595303457197865,0.03886373980955378,0.041975160112635065,0.02679751096597491,,,,,,0.019980355382722585,0.03545002535962029,0.03934628677408405,0.05704220215105086,0.05019271036700329,0.018307284621548337,0.05326532111023759,0.05838771099119395,0.04194658408571289,0.0349835649198579,0.024133020297881905,0.03668785327450238,0.03910557805374398,0.0426773937745041,0.05200836269519653,0.03930960088715238,0.01904689740070847,0.029635520609039727,0.04924012138708461,0.06505243475549013,0.015621648671303317,0.008572367151893608,0.03263040972345795,0.049193700834554606,0.08984378356650273,0.0061724521753211215,0.012868963983778844,0.027174056400710186,0.04678470088829674,0.10928440159136843,0.016701702432422277,0.02737079274935668,0.03434990192125091,0.04549034452152248,0.07837183341492295,-0.0014573497993261165,0.024998266517190115,0.051919144588216365,0.05637019165410107,0.06939904300909039
2020-10-30,0.017544030192193173,0.01126536251918552,0.016830411081469814,0.03093845507705397,0.05123219929447082,-0.012381755888811803,0.008560024786261028,0.03301443816080632,0.0446731630387761,0.06506331243480519,,,,,,0.03699196733105514,0.028839558781451616,0.02739649281483379,0.03333903754840428,0.012172954702759186,0.058766159531955936,0.046936652047122995,0.019580339221825487,0.019013172808109702,-0.008527152374822511,0.03189919403470704,0.04115762374763101,0.03462992942581861,0.02779996309236154,-0.0004547148605892573,0.053454588645269356,0.0496392518779023,0.029533395866318677,0.011609222484155446,-0.005273974366617084,0.029002930239446095,0.038772338620329055,0.04725705238716057,0.037817912360631166,-0.02126666936427555,0.04968149810203704,0.043667321383003825,0.018696483072547437,0.011186897735128196,0.015664516397374442,0.05288736727823023,0.0441420549617938,0.036935171844405125,0.020317566664971226,-0.015279168901750307,0.029932844664098998,0.046542614602346204,0.038274466706818056,0.034988862504452635,-0.016210921913270383
2020-11-30,-0.05237832706051411,-0.03795266259798415,-0.06591560473226911,-0.06335591940002434,-0.030009770426206412,-0.025055315784380264,-0.06762412420357079,-0.0745078766825066,-0.06277657394781778,-0.04627843948167081,,,,,,-0.08574422630914674,-0.06314373630045947,-0.057363697397211345,-0.04217909843490835,-0.026916229841899057,-0.061974043723195156,-0.041767018536069137,-0.057549724921724166,-0.0675326436029254,-0.04810384058060523,-0.060686176597499315,-0.05367537417968492,-0.07125976119736273,-0.05551051578585258,-0.03306890553009437,-0.07067581681100034,-0.0672544837793613,-0.08189238538311511,-0.06371733809603554,0.007267328960311768,-0.07357947185675077,-0.0704617932689721,-0.06864231625624498,-0.046179758771817535,-0.015751824283160163,-0.07690238864792591,-0.0657762735835905,-0.05507524579507101,-0.045191845673953575,-0.03314823590405685,-0.05401495713692813,-0.06419395282122296,-0.06531508224568432,-0.03907159981072469,-0.05350808182601108,-0.09151445155433924,-0.07662549107508984,-0.057705944374299586,-0.04547172669366008,0.0021455935136388206
2020-12-31,-0.057038579729072385,-0.07052934668270677,-0.0699999201387001,-0.044066144302983494,-0.03654967449223608,-0.030097705151873263,-0.05869604997814497,-0.0770540045007566,-0.08320294355318722,-0.08807321992343842,,,,,,-0.1157342427757852,-0.09394867254591964,-0.0831532115208575,-0.05828314230791585,0.01498553967142257,-0.0873683966928369,-0.07955955269728296,-0.0579598585955342,-0.04625756087502668,-0.06464530626138096,-0.09075781269482412,-0.0705407420816498,-0.06656851305177813,-0.05452955093826669,-0.05900986380157721,-0.08537965195570983,-0.0865534728911967,-0.06766132361113095,-0.06877826828503021,-0.02876650964749666,-0.07806291028523787,-0.07768544362976085,-0.07497990042756064,-0.07593510086620277,-0.03278935121214237,-0.0826466371541087,-0.05781585533852328,-0.0330843893291769,-0.062222012476876115,-0.10110566994171737,-0.07873407729449254,-0.06284743653282099,-0.05258804946806183,-0.0525755781279648,-0.09018581981321472,-0.08204393826623599,-0.08840096347849656,-0.0736845374957632,-0.05545907670854449,-0.04011321279909304
2021-01-29,0.026713600463940744,0.052698214744708725,0.05714976039793863,0.07815863503955404,0.07928854218254168,0.011956743078072788,0.06688319185747883,0.07400327224079183,0.08131755784802742,0.10110751303921789,,,,,,0.0901098381770272,0.0801262013784027,0.06501837937069137,0.06050298126087588,0.03820645400396072,0.09315695434407821,0.08449001349718827,0.06008738716093015,0.059107780748651306,0.04329274492541279,0.10432192927720259,0.07870073010513612,0.07081920392429508,0.06428185816537339,0.01510653807207279,0.08503248963255029,0.08796780526187445,0.0960351263573402,0.05887862167585584,0.007349124484014112,0.10662451345884816,0.07635215482429353,0.06999630614702769,0.06723783409187714,0.016432355415917588,0.10287343114554372,0.07944953657602324,0.06542326325665986,0.04551963571477999,0.04191474504071515,0.07259013165946442,0.07587255477859223,0.07111488788449796,0.06638517454578599,0.049097464352722636,0.09212578721841785,0.07048067196820905,0.08105632425605132,0.07698364564265174,0.010519725039660475
2021-02-26,0.003053948953038701,0.01498580790481854,0.022904432149618296,0.023146783854175724,0.0363647895807285,-0.025406531365574865,0.007956855788836953,0.029684951613077545,0.030751327195372095,0.059081683067407235,,,,,,0.027946042108003544,0.01837886727686676,0.030575831991186637,0.017207559507398752,0.00841293788248411,0.03164491536679031,0.024985329193155565,0.017058823862672417,0.016542365184213623,0.014021685277901725,0.004107750373160473,0.018418053139400942,0.03360522585602753,0.043586294754893506,-2.4585855496590604e-05,0.05170688733762726,0.044010759483878656,0.03409629257262881,0.0051445520356614306,-0.03392357365762947,0.0355076393711873,0.033432247595492195,0.03597617060935266,0.016153153848501488,-0.026540843418441568,0.05411316204584867,0.01604399922697476,0.01192557465703452,0.01752733512518438,0.0013411836306504298,0.03571921287374528,0.030664789981708143,0.02555960911145945,0.009634781554946894,-0.0005756896495465354,0.03115340902933677,0.020889558166729157,0.03544483513465983,0.025746936095688087,-0.023578003216617367
2021-03-31,0.02521515397076226,0.015805904279315486,-0.004691356702761802,0.00690106877413331,-0.007845204151190159,0.03140667636723955,0.0016300774908414811,0.011003349824070353,0.002043604355595865,0.014730672077053805,,,,,,-0.025183758730518556,-0.0010540405411764426,0.012389411182500842,0.015712192521326922,0.05953447150108381,-0.0006753557331185485,0.001606474746539089,0.0040606331693333305,0.0100734155931389,0.04872436193084981,0.03365080132551769,0.010338165454875328,0.01714547269254596,0.010541526001433163,-0.017493599152312415,0.02431048737886436,0.02044931666323679,0.0027582197737184106,-0.010387090757335285,0.023744264989865458,0.03382225540272422,0.010183468074022414,0.010461511159782435,-0.0013822724325999512,0.0042153725337582245,0.01553998637875091,0.029423597620541878,0.024443286784128732,0.01057238819604945,-0.019070839336423836,0.00948404529230367,0.009851763381793149,0.01585850306620347,0.008901731647019243,0.01683531542650959,0.016201418258818462,0.002846818431127227,0.003431442325246179,-0.001909843536335928,0.03490730625741451
2021-04-30,0.07730592483701844,0.04033788053035837,0.03845686693042765,0.02864304005839452,0.015351822296013475,0.03763489888295761,0.05051735047304155,0.06718478012928006,0.04235675266415817,0.05020677118378096,,,,,,0.09119355387300905,0.06161167740325634,0.033826964504943345,0.04325341998437741,0.022140871062627337,0.044220686181389426,0.040690961386715886,0.0450262931548307,0.0641728326758647,0.059271508305859075,0.0493777827407645,0.05207148133473285,0.0433101133733763,0.04599357456855642,0.06124076285997539,0.04720909176747118,0.05864058765636298,0.04782450699127132,0.03891011721097174,0.05932711727739877,0.049146187068268114,0.05577414655631091,0.050587619544817414,0.05066981098703236,0.04275631313687387,0.0446223789112438,0.03776382326621015,0.047917757009885424,0.06239917940968157,0.05921841544438451,0.03433215047730324,0.037211504138259736,0.04606322074626689,0.043981005705750115,0.09073025909215873,0.07933269731265075,0.05395732684542057,0.02183989274209331,0.03524254046576727,0.06313223629471491
2021-05-31,0.021892701048893043,-0.007127783975113486,-0.0035277932065693367,0.012740085032195914,-0.005568969385040254,-0.010036176835016768,-0.0004956983166590052,0.012968189441238225,0.015055791294366475,0.006230960242906656,,,,,,0.011553153950600687,0.006188420215386067,0.006595792440668397,0.012270751527449834,-0.013362695879894913,-0.0069815438972407745,0.019030281343550323,0.016164842986409852,0.01120592739740271,-0.013234854674916426,0.0007413865804518876,0.01027010541258221,0.007381654547253033,0.013068180563196521,-0.004884270724968916,0.022731492324969977,0.0192269603253318,0.006042645094838545,-0.0091948619143376,-0.015556314448729012,0.008350188285965605,0.017923491978680733,0.01237164564790903,-0.00493349079620173,-0.00476608939212595,0.016733657225932865,0.013875886571997731,0.004389163145372273,0.005277276148606268,-0.0170322314186021,0.005593005446324598,0.016977887325860547,0.01091581968587249,0.0049839194597315,-0.015202527048435452,0.036764558235711356,0.011279075085812008,-0.007410611862969839,-0.009321357018120764,-0.0021243253470352454
2021-06-30,-0.008885325264106078,-0.03381155213208624,-0.05661613402633002,-0.0481488723043897,-0.054378718504290734,-0.047503083263080975,-0.04246453290266799,-0.04088580385847505,-0.03699959862572915,-0.04336436549160079,,,,,,-0.07581942345121176,-0.035952170388297906,-0.03157523048374837,-0.030814161405725498,-0.03805195323160869,-0.04491909735964507,-0.026732339905542205,-0.023286136042845407,-0.048277460062470655,-0.06727099451026572,-0.08768610698972266,-0.047524005918285275,-0.030490279761835642,-0.023004594037162002,-0.02415319137593803,-0.054281912627069225,-0.042560816099967716,-0.04421678482239236,-0.04531017820426373,-0.026150448266702334,-0.086317070506023,-0.05128281180360472,-0.032221685181497005,-0.024293383314199515,-0.018466802418736803,-0.058547082239603296,-0.04896944261323171,-0.056433608743779895,-0.036359210087794115,-0.012256043831991486,-0.04291264216468413,-0.040860383487184994,-0.04541479413577338,-0.04000534849426094,-0.043331408810022974,-0.07227084147752622,-0.05277730946812009,-0.037211074792530344,-0.031403940146345156,-0.018489721728410492
2021-07-30,0.05078728918395699,0.05491214274956483,0.06948231594664656,0.07650225787087411,0.0771357197255771,0.03627567799415266,0.07161328803991548,0.06968295941380655,0.07904495991399393,0.07347304603615544,,,,,,0.04325134400543298,0.051937940792123105,0.07732030043787941,0.07801640341674153,0.07923744327599481,0.0801013213294255,0.08436129766452001,0.0722126733784478,0.06999773670453077,0.022452273443694642,0.02322459213479454,0.049327023714756994,0.0717776847607163,0.10469419366871158,0.08344056173588124,0.07853369016917115,0.06998763530997064,0.06572213423786787,0.06185162829696465,0.05342725767457098,0.03612383647392983,0.046799632807639054,0.08529048217094704,0.07286596385942426,0.08295055172793127,0.0613235296240185,0.053846763807162405,0.06027519153441484,0.07591660929190534,0.07815259131846906,0.07212355914597443,0.07342313883916816,0.058878893264917846,0.06278365094470909,0.06317951443931367,0.03573039524789836,0.053079667429703825,0.0715957338891427,0.07727164122118348,0.0916428373952565
